local_datetime,NB_average_delay,SB_average_delay,NB_average_traveltime,SB_average_traveltime,min_units,NB_average_speed,SB_average_speed,speed_units
5/26/2025 17:00,0.03,0.01,0.59,0.56,mins,45.1,47.6,mph
5/26/2025 18:00,0.04,0,0.62,0.56,mins,42.9,47.7,mph
5/26/2025 19:00,0.02,0,0.59,0.51,mins,45.1,51.4,mph
5/26/2025 20:00,0.03,0,0.61,0.59,mins,43.6,45.2,mph
5/26/2025 21:00,0.02,0,0.61,0.54,mins,44,49,mph
5/26/2025 22:00,0.02,0,0.6,0.53,mins,45,50.1,mph
5/26/2025 23:00,0.01,0,0.57,0.54,mins,46.2,49.1,mph
5/27/2025 0:00,0,0,0.54,0.53,mins,48.3,49.4,mph
5/27/2025 1:00,0.06,0,0.72,0.53,mins,38,49.7,mph
5/27/2025 2:00,0,0.01,0.6,0.54,mins,44,49.3,mph
5/27/2025 3:00,0,0,0.57,0.57,mins,46,46.3,mph
5/27/2025 4:00,0.01,0,0.61,0.57,mins,43.4,45.9,mph
5/27/2025 5:00,0.02,0,0.59,0.55,mins,45,48.3,mph
5/27/2025 6:00,0.05,0,0.64,0.52,mins,41.8,50.6,mph
5/27/2025 7:00,0.11,0,0.72,0.54,mins,37.6,48.4,mph
5/27/2025 8:00,0.17,0,0.78,0.53,mins,35.8,50,mph
5/27/2025 9:00,0.16,0.01,0.78,0.57,mins,34.8,46.5,mph
5/27/2025 10:00,0.04,0,0.64,0.56,mins,42,47.4,mph
5/27/2025 11:00,0.06,0,0.67,0.56,mins,39.6,47.1,mph
5/27/2025 12:00,0.11,0,0.72,0.56,mins,37.2,47.5,mph
5/27/2025 13:00,0.14,0,0.76,0.56,mins,35.9,47.5,mph
5/27/2025 14:00,0.07,0,0.68,0.54,mins,39.5,48.4,mph
5/27/2025 15:00,0.06,0,0.65,0.55,mins,41.1,48.4,mph
5/27/2025 16:00,0.04,0,0.62,0.53,mins,43.4,49.4,mph
5/27/2025 17:00,0.13,0,0.71,0.54,mins,37.9,49.2,mph
5/27/2025 18:00,0.03,0.01,0.6,0.57,mins,44.8,46.6,mph
5/27/2025 19:00,0.02,0,0.6,0.52,mins,44.7,50.3,mph
5/27/2025 20:00,0.02,0,0.64,0.55,mins,41.4,48.5,mph
5/27/2025 21:00,0.01,0,0.6,0.55,mins,44.3,47.9,mph
5/27/2025 22:00,0,0,0.56,0.55,mins,47.5,48.2,mph
5/27/2025 23:00,0,0,0.57,0.55,mins,46.1,48.2,mph
5/28/2025 0:00,0,0,0.57,0.54,mins,46.4,48.6,mph
5/28/2025 1:00,0,0,0.57,0.59,mins,46,45.4,mph
5/28/2025 2:00,0,0,0.59,0.51,mins,44.6,51.4,mph
5/28/2025 3:00,0,0,0.57,0.56,mins,46.5,47.2,mph
