local_datetime,NB_average_delay,SB_average_delay,NB_average_traveltime,SB_average_traveltime,min_units,NB_average_speed,SB_average_speed,speed_units
6/17/2025 2:00,0,0.03,0.37,0.43,mins,44.1,37.3,mph
6/17/2025 3:00,0.01,0.03,0.38,0.43,mins,43.7,37.5,mph
6/17/2025 4:00,0.01,0.01,0.38,0.4,mins,42.9,40.3,mph
6/17/2025 5:00,0.07,0.1,0.49,0.52,mins,34.6,30.9,mph
6/17/2025 6:00,0.25,0.17,0.69,0.59,mins,26.9,29,mph
6/17/2025 7:00,0.2,0.13,0.65,0.57,mins,27.3,28.1,mph
6/17/2025 8:00,0.23,0.12,0.69,0.55,mins,24.3,28.4,mph
6/17/2025 9:00,0.14,0.07,0.59,0.5,mins,28.1,31.9,mph
6/17/2025 10:00,0.19,0.05,0.65,0.48,mins,27.3,32.6,mph
6/17/2025 11:00,0.27,0.06,0.73,0.5,mins,23,31.3,mph
6/17/2025 12:00,0.17,0.09,0.61,0.53,mins,28.3,29.7,mph
6/17/2025 13:00,0.11,0.06,0.55,0.5,mins,31.1,31.4,mph
6/17/2025 14:00,0.23,0.07,0.69,0.52,mins,25,30.4,mph
6/17/2025 15:00,0.21,0.07,0.65,0.5,mins,26.6,31.6,mph
6/17/2025 16:00,0.16,0.05,0.6,0.49,mins,27.6,32,mph
6/17/2025 17:00,0.12,0.05,0.55,0.48,mins,32.1,32.5,mph
6/17/2025 18:00,0.05,0.09,0.47,0.53,mins,36.1,29.9,mph
6/17/2025 19:00,0.16,0.11,0.6,0.54,mins,28.5,29.4,mph
6/17/2025 20:00,0.04,0.08,0.46,0.49,mins,36.4,33,mph
6/17/2025 21:00,0.01,0.07,0.42,0.49,mins,39.3,33,mph
6/17/2025 22:00,0.07,0.07,0.51,0.5,mins,33.5,31.1,mph
6/17/2025 23:00,0.01,0.08,0.42,0.53,mins,39.1,30,mph
6/18/2025 0:00,0.08,0.02,0.51,0.44,mins,33.7,36.3,mph
6/18/2025 1:00,0,0.03,0.38,0.45,mins,43.6,35.2,mph
6/18/2025 2:00,0,0.01,0.36,0.43,mins,45,36.8,mph
6/18/2025 3:00,0,0.08,0.37,0.46,mins,43.6,35.3,mph
6/18/2025 4:00,0,0.01,0.37,0.41,mins,44.7,38.8,mph
6/18/2025 5:00,0.02,0.13,0.41,0.55,mins,39.8,28.8,mph
6/18/2025 6:00,0.12,0.08,0.55,0.51,mins,32.1,31.2,mph
6/18/2025 7:00,0.18,0.08,0.62,0.51,mins,27.8,31.3,mph
6/18/2025 8:00,0.28,0.08,0.74,0.52,mins,23,30.9,mph
6/18/2025 9:00,0.24,0.07,0.7,0.51,mins,24.8,31.1,mph
6/18/2025 10:00,0.25,0.11,0.7,0.54,mins,23.8,29.4,mph
6/18/2025 11:00,0.25,0.12,0.71,0.54,mins,24.2,30,mph
6/18/2025 12:00,0.17,0.07,0.61,0.51,mins,28.3,31,mph
6/18/2025 13:00,0.16,0.12,0.59,0.56,mins,29.8,28.1,mph
6/18/2025 14:00,0.23,0.09,0.68,0.53,mins,25,29.6,mph
6/18/2025 15:00,0.21,0.11,0.64,0.55,mins,27.8,29.3,mph
6/18/2025 16:00,0.25,0.1,0.7,0.54,mins,23.5,29.2,mph
6/18/2025 17:00,0.17,0.06,0.61,0.5,mins,28.3,32.1,mph
6/18/2025 18:00,0.01,0.02,0.41,0.46,mins,39.8,34.2,mph
6/18/2025 19:00,0.03,0.04,0.41,0.48,mins,40.6,32.7,mph
6/18/2025 20:00,0.1,0.12,0.55,0.57,mins,31.1,27.7,mph
6/18/2025 21:00,0.18,0.12,0.62,0.56,mins,27.8,28.2,mph
6/18/2025 22:00,0.03,0.07,0.46,0.5,mins,36,31.7,mph
6/18/2025 23:00,0,0.03,0.39,0.44,mins,42.5,36,mph
6/19/2025 0:00,0.01,0.03,0.39,0.45,mins,42,34.6,mph
6/19/2025 1:00,0,0.01,0.37,0.43,mins,43.9,36.4,mph
6/19/2025 2:00,0,0,0.37,0.37,mins,43.9,42.9,mph
6/19/2025 3:00,0,0.02,0.36,0.44,mins,45.2,35.8,mph
6/19/2025 4:00,0,0.02,0.37,0.4,mins,44.7,40.4,mph
6/19/2025 5:00,0.08,0.07,0.48,0.5,mins,37.3,31.8,mph
6/19/2025 6:00,0.16,0.16,0.6,0.6,mins,29.6,26.5,mph
6/19/2025 7:00,0.17,0.07,0.61,0.5,mins,29,31.4,mph
6/19/2025 8:00,0.23,0.14,0.68,0.57,mins,25.5,27.9,mph
6/19/2025 9:00,0.21,0.1,0.66,0.54,mins,26.7,29.3,mph
6/19/2025 10:00,0.09,0.06,0.52,0.49,mins,32.9,32.2,mph
6/19/2025 11:00,0.28,0.12,0.74,0.56,mins,23.1,28.6,mph
6/19/2025 12:00,0.23,0.07,0.68,0.51,mins,25.6,30.6,mph
6/19/2025 13:00,0.08,0.09,0.51,0.54,mins,32.5,29.6,mph
6/19/2025 14:00,0.22,0.09,0.66,0.53,mins,26.9,30.3,mph
6/19/2025 15:00,0.24,0.08,0.68,0.51,mins,25,30.9,mph
6/19/2025 16:00,0.14,0.06,0.54,0.5,mins,32.6,31.6,mph
6/19/2025 17:00,0.12,0.04,0.54,0.48,mins,33.6,32.7,mph
6/19/2025 18:00,0.08,0.05,0.49,0.49,mins,34.7,32.4,mph
6/19/2025 19:00,0.08,0.05,0.48,0.48,mins,35.3,32.6,mph
6/19/2025 20:00,0.17,0.12,0.63,0.57,mins,27.2,28,mph
6/19/2025 21:00,0.13,0.14,0.59,0.58,mins,28.1,27.5,mph
6/19/2025 22:00,0.02,0.12,0.43,0.56,mins,38.2,28.3,mph
6/19/2025 23:00,0.01,0.03,0.41,0.46,mins,40.1,34.5,mph
6/20/2025 0:00,0.01,0.05,0.41,0.48,mins,41,32.8,mph
6/20/2025 1:00,0.01,0.03,0.4,0.46,mins,41.4,33.9,mph
6/20/2025 2:00,0,0.01,0.36,0.4,mins,45.3,40.3,mph
6/20/2025 3:00,0,0.01,0.36,0.38,mins,46.1,41.6,mph
6/20/2025 4:00,0,0.03,0.39,0.4,mins,42.2,40,mph
6/20/2025 5:00,0.04,0.18,0.47,0.61,mins,35.3,26.2,mph
6/20/2025 6:00,0.14,0.09,0.57,0.52,mins,31.2,30.2,mph
6/20/2025 7:00,0.28,0.1,0.74,0.53,mins,23.2,30.3,mph
6/20/2025 8:00,0.12,0.09,0.56,0.52,mins,30.2,30.2,mph
6/20/2025 9:00,0.16,0.07,0.62,0.5,mins,27.4,31.7,mph
6/20/2025 10:00,0.09,0.07,0.52,0.5,mins,32.5,31.5,mph
6/20/2025 11:00,0.22,0.04,0.67,0.47,mins,25.2,33.8,mph
6/20/2025 12:00,0.14,0.08,0.58,0.51,mins,30,31,mph
6/20/2025 13:00,0.06,0.05,0.5,0.48,mins,33,32.7,mph
6/20/2025 14:00,0.23,0.07,0.68,0.51,mins,25,31,mph
