local_datetime,corridor_id,direction,average_delay,average_traveltime,average_speed
10/21/2024 0:00,sagebrushave_to_eisenhowerdr,NB,0,0.53,50.2
10/21/2024 0:00,eisenhowerdr_to_sagebrushave,SB,0,0.55,48.2
10/21/2024 1:00,sagebrushave_to_eisenhowerdr,NB,0,0.55,48
10/21/2024 1:00,eisenhowerdr_to_sagebrushave,SB,0,0.52,50.2
10/21/2024 2:00,sagebrushave_to_eisenhowerdr,NB,0,0.59,44.5
10/21/2024 2:00,eisenhowerdr_to_sagebrushave,SB,0,0.57,46.4
10/21/2024 3:00,sagebrushave_to_eisenhowerdr,NB,0,0.57,46.3
10/21/2024 3:00,eisenhowerdr_to_sagebrushave,SB,0,0.55,48
10/21/2024 4:00,sagebrushave_to_eisenhowerdr,NB,0.07,0.68,39.4
10/21/2024 4:00,eisenhowerdr_to_sagebrushave,SB,0,0.54,49.1
10/21/2024 5:00,sagebrushave_to_eisenhowerdr,NB,0,0.58,45.9
10/21/2024 5:00,eisenhowerdr_to_sagebrushave,SB,0,0.54,48.6
10/21/2024 6:00,sagebrushave_to_eisenhowerdr,NB,0.08,0.69,39.1
10/21/2024 6:00,eisenhowerdr_to_sagebrushave,SB,0.04,0.61,44.4
10/21/2024 7:00,sagebrushave_to_eisenhowerdr,NB,0.18,0.84,31.6
10/21/2024 7:00,eisenhowerdr_to_sagebrushave,SB,0.04,0.62,43.5
10/21/2024 8:00,sagebrushave_to_eisenhowerdr,NB,0.14,0.8,33.4
10/21/2024 8:00,eisenhowerdr_to_sagebrushave,SB,0,0.56,47.3
10/21/2024 9:00,sagebrushave_to_eisenhowerdr,NB,0.21,0.86,31.3
10/21/2024 9:00,eisenhowerdr_to_sagebrushave,SB,0,0.58,45.2
10/21/2024 10:00,sagebrushave_to_eisenhowerdr,NB,0.07,0.7,38.6
10/21/2024 10:00,eisenhowerdr_to_sagebrushave,SB,0,0.55,48
10/21/2024 11:00,sagebrushave_to_eisenhowerdr,NB,0.09,0.71,37.4
10/21/2024 11:00,eisenhowerdr_to_sagebrushave,SB,0,0.54,49.2
10/21/2024 12:00,sagebrushave_to_eisenhowerdr,NB,0.17,0.8,34.2
10/21/2024 12:00,eisenhowerdr_to_sagebrushave,SB,0,0.57,46.2
10/21/2024 13:00,sagebrushave_to_eisenhowerdr,NB,0.07,0.69,38.8
10/21/2024 13:00,eisenhowerdr_to_sagebrushave,SB,0,0.56,47.5
10/21/2024 14:00,sagebrushave_to_eisenhowerdr,NB,0.22,0.85,31.3
10/21/2024 14:00,eisenhowerdr_to_sagebrushave,SB,0,0.55,48.1
10/21/2024 15:00,sagebrushave_to_eisenhowerdr,NB,0.12,0.76,34.9
10/21/2024 15:00,eisenhowerdr_to_sagebrushave,SB,0,0.58,45.9
10/21/2024 16:00,sagebrushave_to_eisenhowerdr,NB,0.08,0.7,38
10/21/2024 16:00,eisenhowerdr_to_sagebrushave,SB,0,0.56,46.9
10/21/2024 17:00,sagebrushave_to_eisenhowerdr,NB,0.18,0.8,33.2
10/21/2024 17:00,eisenhowerdr_to_sagebrushave,SB,0,0.56,46.9
10/21/2024 18:00,sagebrushave_to_eisenhowerdr,NB,0.1,0.71,38.2
10/21/2024 18:00,eisenhowerdr_to_sagebrushave,SB,0,0.57,46.2
10/21/2024 19:00,sagebrushave_to_eisenhowerdr,NB,0.06,0.68,39.1
10/21/2024 19:00,eisenhowerdr_to_sagebrushave,SB,0,0.54,49.4
10/21/2024 20:00,sagebrushave_to_eisenhowerdr,NB,0.02,0.62,42.8
10/21/2024 20:00,eisenhowerdr_to_sagebrushave,SB,0,0.54,48.6
10/21/2024 21:00,sagebrushave_to_eisenhowerdr,NB,0.03,0.63,42.3
10/21/2024 21:00,eisenhowerdr_to_sagebrushave,SB,0,0.54,49.2
10/21/2024 22:00,sagebrushave_to_eisenhowerdr,NB,0.07,0.66,41.2
10/21/2024 22:00,eisenhowerdr_to_sagebrushave,SB,0,0.55,47.9
10/21/2024 23:00,sagebrushave_to_eisenhowerdr,NB,0,0.59,45
10/21/2024 23:00,eisenhowerdr_to_sagebrushave,SB,0,0.54,48.5
10/22/2024 0:00,sagebrushave_to_eisenhowerdr,NB,0,0.54,48.9
10/22/2024 0:00,eisenhowerdr_to_sagebrushave,SB,0,0.53,49.5
10/22/2024 1:00,sagebrushave_to_eisenhowerdr,NB,0,0.6,44
10/22/2024 1:00,eisenhowerdr_to_sagebrushave,SB,0.01,0.6,43.9
10/22/2024 2:00,sagebrushave_to_eisenhowerdr,NB,0.04,0.67,39.8
10/22/2024 2:00,eisenhowerdr_to_sagebrushave,SB,0.01,0.63,42.2
10/22/2024 3:00,sagebrushave_to_eisenhowerdr,NB,0,0.6,44
10/22/2024 3:00,eisenhowerdr_to_sagebrushave,SB,0,0.6,44
10/22/2024 4:00,sagebrushave_to_eisenhowerdr,NB,0.02,0.59,45.2
10/22/2024 4:00,eisenhowerdr_to_sagebrushave,SB,0,0.5,53.6
10/22/2024 5:00,sagebrushave_to_eisenhowerdr,NB,0.05,0.64,41.7
10/22/2024 5:00,eisenhowerdr_to_sagebrushave,SB,0,0.55,48.3
10/22/2024 6:00,sagebrushave_to_eisenhowerdr,NB,0.07,0.65,40.9
10/22/2024 6:00,eisenhowerdr_to_sagebrushave,SB,0,0.54,49.4
10/22/2024 7:00,sagebrushave_to_eisenhowerdr,NB,0.18,0.82,32.4
10/22/2024 7:00,eisenhowerdr_to_sagebrushave,SB,0,0.6,44.3
10/22/2024 8:00,sagebrushave_to_eisenhowerdr,NB,0.2,0.85,31.4
